name                                               usablegc  usablevc  density  porosity  Ri       ssa      specific
-                                                  (wt.%)    (kg/L)    (kg/L)   volzeo    (angs.)  (m^2/g)  porevolu
ssa=specificsurfacearea                            25MPa     25MPa     -        -         -        -        mevolzeo
angs.=angstroms                                    298.15K   298.15K   -        -         -        -        (cm^3/g)
cc2s/cc2hg088                                      4.78      0.0157    0.312    0.840     15.71    4751     2.692
cc2s/cc2hj8cp                                      3.23      0.0145    0.433    0.600     5.70     5445     1.384
cc2s/cc2j6dpv                                      1.64      0.0122    0.728    0.320     4.65     3195     0.440
jlu-mof108/dupver_P1                               1.63      0.0134    0.813    0.440     4.71     2885     0.541
jlu-mof108/heffef_P1_charged                       1.82      0.0136    0.733    0.460     4.77     3335     0.627
jlu-mof108/ifanov_P1                               2.01      0.0161    0.784    0.380     4.74     3005     0.485
jlu-mof108/jlu-mof108-cc2jhf6p                     1.91      0.0153    0.784    0.540     5.36     3186     0.689
jlu-mof108/liqdas_P1                               1.65      0.0126    0.749    0.380     5.88     3087     0.507
jlu-mof108/lovzaa_P1_charged                       2.05      0.0135    0.643    0.520     5.22     3601     0.808
jlu-mof108/sidzud_P1_charged                       1.09      0.0154    1.403    0.180     3.45     1317     0.128
jlu-mof108/somvoi_P1_charged                       2.73      0.0147    0.523    0.540     8.03     4168     1.032
jlu-mof108/sunlap_P1                               1.86      0.0116    0.615    0.280     6.38     3304     0.455
jlu-mof108/wavriw_P1_H                             1.33      0.0118    0.881    0.260     7.19     2864     0.295
jlu-mof108/wavroc_P1_H                             2.45      0.0138    0.552    0.520     8.19     3856     0.942
jlu-mof108/xummup_P1_charged                       0.54      0.0060    1.109    0.180     3.78     1212     0.162
jlu-mof108/zohjoy_P1                               1.77      0.0133    0.740    0.440     5.98     2476     0.595
jlu-mof108/zohjue_P1_H                             1.70      0.0129    0.747    0.280     5.64     2499     0.375
kezbuqandrelatedmofs/KEZBUQ                        3.40      0.0147    0.418    0.520     6.86     4879     1.242
kezbuqandrelatedmofs/lafqoa_P1                     1.68      0.0125    0.732    0.360     6.44     3277     0.492
kezbuqandrelatedmofs/lafqug_P1                     1.68      0.0125    0.728    0.360     6.49     3259     0.494
kezbuqandrelatedmofs/lafrer_P1                     1.76      0.0126    0.705    0.360     6.62     3415     0.510
kezbuqandrelatedmofs/lafriv_P1                     1.70      0.0125    0.722    0.360     6.51     3308     0.499
kezbuqandrelatedmofs/lafrob_P1                     1.76      0.0128    0.712    0.380     6.61     3276     0.533
kezbuqandrelatedmofs/laxjax_P1                     1.74      0.0127    0.717    0.380     6.58     3344     0.530
kezbuqandrelatedmofs/puzlom_P1                     3.30      0.0153    0.448    0.460     8.43     4922     1.026
kezbuqandrelatedmofs/puzlus_P1                     3.15      0.0150    0.461    0.320     7.55     5053     0.693
kezbuqandrelatedmofs/puzmaz_P1                     3.23      0.0149    0.447    0.620     8.59     5009     1.385
kezbuqandrelatedmofs/rifsoq_P1                     1.71      0.0125    0.717    0.320     6.53     3392     0.446
kezbuqandrelatedmofs/rivdeh_P1                     1.71      0.0126    0.723    0.360     6.52     3335     0.498
kezbuqandrelatedmofs/secsur_P1_H                   3.64      0.0156    0.413    0.640     6.80     5154     1.550
kezbuqandrelatedmofs/vagmat_P1                     3.80      0.0150    0.379    0.560     6.73     4894     1.476
kezbuqandrelatedmofs/xaffan_P1                     3.81      0.0151    0.380    0.720     6.72     4954     1.895
kezbuqandrelatedmofs/xaffiv_P1                     3.95      0.0153    0.373    0.680     6.67     5221     1.822
kezbuqandrelatedmofs/xaffob_P1                     3.95      0.0157    0.382    0.580     6.69     5233     1.519
kezbuqandrelatedmofs/zagfof_P1                     1.57      0.0121    0.757    0.320     4.71     3012     0.423
mof521sandrelated/adoduu_P1                        0.49      0.0065    1.315    0.140     2.97     1267     0.106
mof521sandrelated/dazkex_P1_H                      1.13      0.0102    0.894    0.140     3.37     2579     0.157
mof521sandrelated/dazmid_P1_H                      0.60      0.0070    1.163    0.140     3.45     1353     0.120
mof521sandrelated/dorfas_P1_charged                0.80      0.0083    1.029    0.120     3.44     1983     0.117
mof521sandrelated/ezucos_P1_H                      0.51      0.0068    1.335    0.100     3.10     1363     0.075
mof521sandrelated/fivsah_P1_charged                0.47      0.0062    1.320    0.140     2.89     1251     0.106
mof521sandrelated/holyoz_P1_H                      1.26      0.0134    1.053    0.160     2.96     2835     0.152
mof521sandrelated/inoven_P1                        0.58      0.0077    1.322    0.100     2.85     1615     0.076
mof521sandrelated/kedpeq_P1_charged                0.48      0.0059    1.225    0.040     2.42     1207     0.033
mof521sandrelated/maqraa01_P1                      0.93      0.0120    1.285    0.140     3.11     1560     0.109
mof521sandrelated/maqraa_P1                        0.92      0.0120    1.288    0.140     3.13     1562     0.109
mof521sandrelated/MOF-521-H                        1.01      0.0108    1.049    0.140     3.41     2002     0.133
mof521sandrelated/MOF-521-mF                       0.97      0.0129    1.320    0.160     3.26     1368     0.121
mof521sandrelated/MOF-521-oF                       0.75      0.0100    1.325    0.100     3.29     1451     0.075
mof521sandrelated/oyewew_P1                        2.34      0.0147    0.613    0.360     4.31     4169     0.587
mof521sandrelated/qoxqec_P1                        2.23      0.0143    0.628    0.400     5.02     3864     0.636
mof521sandrelated/qoxqig_P1                        2.22      0.0139    0.612    0.300     5.10     4029     0.490
mof521sandrelated/qoxsaa_P1                        2.19      0.0148    0.659    0.480     4.71     3488     0.728
mof521sandrelated/ufanev_P1_charged                0.65      0.0089    1.346    0.120     3.09     1320     0.089
mof521sandrelated/vexpas_P1                        0.76      0.0083    1.079    0.140     3.05     1893     0.130
mof521sandrelated/vuryox_P1_charged                0.45      0.0060    1.340    0.120     3.29     1129     0.090
mof521sandrelated/zeszee_P1                        1.15      0.0108    0.921    0.240     3.50     2336     0.260
mof521sandrelated/zifnua_P1                        0.61      0.0082    1.346    0.160     3.24     1194     0.119
mof-classics/CUSYAR_MOF-210                        5.98      0.0157    0.247    0.780     14.01    5419     3.155
mof-classics/HKUST_2009                            2.13      0.0187    0.861    0.380     6.67     2808     0.441
mof-classics/HKUST_FIQCEN99                        1.63      0.0157    0.949    0.320     5.55     3163     0.337
mof-classics/IRMOF-11_EDUVEE_2002                  3.52      0.0154    0.421    0.680     9.82     4384     1.614
mof-classics/IRMOF-12_EDUVII_2002                  3.71      0.0162    0.420    0.460     10.16    4224     1.093
mof-classics/IRMOF-14_EDUVOO_2002                  3.98      0.0156    0.376    0.500     10.47    4811     1.330
mof-classics/IRMOF-15_EDUVUU_2002                  4.38      0.0162    0.354    0.740     11.86    3294     2.089
mof-classics/IRMOF-16_EDUWAB_2002                  3.25      0.0147    0.437    0.680     10.07    2943     1.556
mof-classics/IRMOF-18_AXUBAW_2004                  1.63      0.0128    0.770    0.320     7.12     2724     0.415
mof-classics/IRMOF-1_EDUSIF_2002                   2.35      0.0144    0.598    0.380     7.53     3910     0.635
mof-classics/IRMOF-20_VEBHUG_2006                  2.78      0.0187    0.655    0.420     8.64     3033     0.641
mof-classics/IRMOF-2_EDUSOL_2002                   0.67      0.0147    2.191    0.260     6.41     880      0.119
mof-classics/IRMOF-3_EDUSUR_2002                   1.79      0.0133    0.731    0.340     7.49     2998     0.465
mof-classics/IRMOF-4_EDUTAY_2002                   0.49      0.0109    2.189    0.140     5.36     656      0.064
mof-classics/IRMOF-6_EDUTIG_2002                   1.66      0.0122    0.724    0.260     7.52     3587     0.359
mof-classics/IRMOF-7_EDUTOM_2002                   0.61      0.0102    1.665    0.080     2.32     1357     0.048
mof-classics/IRMOF-8_EDUTUS_2002                   2.92      0.0175    0.582    0.380     8.96     3339     0.653
mof-classics/IRMOF-9_EDUVAA_2002                   1.59      0.0125    0.771    0.400     5.56     3071     0.518
mof-classics/MOF-177_BABRII_2015                   3.42      0.0155    0.437    0.640     8.49     4361     1.463
mof-classics/NU-111_MEHMET_P1                      3.57      0.0159    0.430    0.740     10.91    4858     1.718
mof-classics/NU-125_REWNEO_P1                      2.46      0.0154    0.611    0.340     9.70     4077     0.556
