feature,importance
density,0.11852513152324971
porosity,0.0026110956723002596
Ri,0.012233822376650823
SSA,0.03480075828031432
SPV,0.02900519119443585
density^2,0.12375857992679466
density porosity,0.001051737448656986
density Ri,0.0018808733378939569
density SSA,0.004436784465424354
density SPV,0.008192501740443319
porosity^2,0.00213655966533762
porosity Ri,0.06439894402506663
porosity SSA,0.03991469531852437
porosity SPV,0.014198757784816942
Ri^2,0.003303999572347569
Ri SSA,0.11153667123764577
Ri SPV,0.2716016797758898
SSA^2,0.035377021556265466
SSA SPV,0.09460167290365727
SPV^2,0.02643352219428433
