feature,ridge_coef
density,-0.20611835909408108
porosity,1.138661823008184
Ri,1.6129572724146664
SSA,1.2865335916994698
SPV,4.929304417430092
density^2,0.5478092734930387
density porosity,-0.5618981551694833
density Ri,-0.4748356254755794
density SSA,-0.09063682974952512
density SPV,1.138562681162156
porosity^2,-1.5340822305301685
porosity Ri,-0.25615725275473417
porosity SSA,-2.4022554784542116
porosity SPV,-0.291340017521322
Ri^2,0.694210891753244
Ri SSA,-1.1683337447787627
Ri SPV,-0.24238987669057224
SSA^2,1.0249164018486063
SSA SPV,1.5466613832930722
SPV^2,-0.960536457253851
